Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stock PnL,Option PnL,Total PnL,Return,Reason
TMO,2020-03-06,2020-04-24,311.17,328.7,14076.589999999978,1820.2268998111724,15896.81689981115,0.0636204749423455,Signal Exit
MTD,2020-04-22,2020-04-24,704.2,713.38,3258.8999999999824,-849.0171589294571,2409.8828410705255,0.009639878399904498,Signal Exit
ADBE,2020-04-21,2020-04-27,328.99,348.5,14808.089999999993,-5704.619404896563,9103.47059510343,0.03645713366550914,Signal Exit
EQIX,2020-02-14,2020-04-28,648.65,683.76,13517.350000000006,1753.752374627327,15271.102374627333,0.061150390770150324,Signal Exit
REGN,2020-02-24,2020-04-28,425.38,528.61,60596.01000000001,4834.069349801162,65430.07934980117,0.262036794958684,Signal Exit
CHTR,2020-04-14,2020-04-28,489.57,497.16,3870.900000000016,958.652063162958,4829.552063162974,0.019342913021162526,Signal Exit
TMO,2020-04-27,2020-04-28,342.71,332.46,-7472.25,2090.240252040087,-5382.0097479599135,-0.021542206008198887,Signal Exit
NFLX,2020-02-14,2020-04-29,380.4,411.89,20688.930000000008,4676.018041451024,25364.948041451033,0.10149113262755953,Signal Exit
AMZN,2020-02-14,2020-04-29,2134.87,2372.71,27827.280000000017,3098.409444758647,30925.689444758664,0.12381181617919795,Signal Exit
SPGI,2020-04-09,2020-04-29,283.55,294.42,9576.470000000005,-2901.524016742179,6674.945983257826,0.026720353260971597,Signal Exit
LMT,2020-04-24,2020-04-29,381.77,387.91,4015.560000000028,-664.5321936179703,3351.027806382058,0.01342142056320018,Signal Exit
BLK,2020-04-17,2020-04-30,476.87,502.04,13189.080000000009,-3404.001146544841,9785.078853455168,0.03915913059288794,Signal Exit
TDG,2020-04-30,2020-05-01,363.08,349.45,-9377.439999999997,2456.3934494829427,-6921.046550517054,-0.02770645776107488,Signal Exit
ILMN,2020-04-07,2020-05-04,280.64,308.2,24528.4,2677.326917883577,27205.726917883578,0.10892329137686724,Signal Exit
NVDA,2020-02-14,2020-05-05,289.79,293.74,3404.89999999999,-3215.477538335208,189.42246166478208,0.0007582995801855639,Signal Exit
CHTR,2020-05-04,2020-05-05,515.73,513.44,-1108.3599999999824,483.6136498634013,-624.7463501365811,-0.002502856618935965,Signal Exit
UNH,2020-05-04,2020-05-07,287.54,285.0,-2207.260000000018,1068.3691560543589,-1138.890843945659,-0.004557892276420196,Signal Exit
AZO,2020-05-04,2020-05-07,1009.94,1012.16,548.3399999999787,243.74199722811164,792.0819972280904,0.0031752477428133195,Signal Exit
LMT,2020-05-06,2020-05-07,378.58,376.54,-1346.399999999976,555.3307790485593,-791.0692209514167,-0.0031660143925042734,Signal Exit
BLK,2020-05-04,2020-05-08,481.51,498.78,8963.12999999999,-2947.215659252594,6015.914340747397,0.024072931219012397,Signal Exit
EQIX,2020-05-06,2020-05-08,684.19,678.16,-2200.9500000000317,934.8515343906668,-1266.098465609365,-0.005069882517250635,Signal Exit
ROP,2020-05-06,2020-05-08,351.16,358.36,5119.199999999992,-1578.1015843579344,3541.0984156420573,0.014182844976568946,Signal Exit
ILMN,2020-05-06,2020-05-08,315.04,309.87,-4099.810000000012,1438.2837396798427,-2661.5262603201695,-0.01065348918770646,Signal Exit
TMO,2020-05-07,2020-05-08,339.08,333.01,-4473.589999999995,1410.5988654325965,-3062.991134567398,-0.012256771153645207,Signal Exit
CHTR,2020-05-07,2020-05-08,514.25,515.28,500.57999999998674,-24.825213064326306,475.75478693566043,0.0019035864164947572,Signal Exit
REGN,2020-05-07,2020-05-12,559.83,557.54,-1021.3400000000345,1007.0197828403009,-14.320217159733602,-5.7353321943479164e-05,Signal Exit
