,0
KSS,2.1069965496604603
ALB,2.0022816148522087
LLY,1.835046813180285
CAH,1.716263673105474
FTI,1.6245620141771542
LEG,1.5785617554804974
FLS,1.5044735326430443
REGN,1.4563496529433526
VFC,1.4096188270676109
BIIB,1.3869708035738433
ILMN,1.3869332635823202
NOV,1.3388782856459678
GM,1.3065524029416398
NUE,1.2898477880891226
GOOGL,1.2883211976310291
HP,1.2863068628153111
WDC,1.2640102103992332
BHF,1.244530652570372
M,1.2365483553712036
HAL,1.2218906363251796
GOOG,1.200332470491662
DVN,1.178251296014153
ISRG,1.1772581741730843
GT,1.1720936998689138
CMI,1.1312208214295671
CHRW,1.1059768886905346
AKAM,1.0624210655660216
MRK,1.0235801631165056
UHS,1.0138879834079895
MU,1.0064914102814428
CTL,1.0062642731005131
FOX,1.0002687775578403
CTSH,0.9849936044445537
BHGE,0.976844143158482
HCA,0.9526415203658435
INCY,0.9504432009329477
STX,0.9405926113125076
L,0.9354371474297188
FOXA,0.9298727320919826
SEE,0.9155052585837529
EXPD,0.911515511496934
AMAT,0.9025625264433287
WAT,0.9004215814588646
EXPE,0.8916620816801805
KORS,0.8830769899492149
EW,0.8757129824471743
ROK,0.8746952388753009
AAPL,0.8685926472849114
PH,0.8586547022119054
ROST,0.8471536521910262
AAL,0.833209032700985
FDX,0.8194836551239609
HSIC,0.8193728658504543
PRU,0.8060239180043095
CINF,0.8003962011012486
SLB,0.791303230691762
VLO,0.7884471604527031
DLTR,0.7781767105850736
EQT,0.761277382188964
AIZ,0.7605221551534571
AMG,0.7435879373832538
TRV,0.7423017402550866
AMZN,0.7362964735778473
CFG,0.7323230157055258
PFG,0.7262486275487191
HBAN,0.7088906458069848
MAR,0.7021874785327368
OKE,0.7000185400693547
IVZ,0.696159786155589
VTR,0.6953113438700003
CMA,0.6943176712681726
BBT,0.690129226849414
MGM,0.6899991492845722
CME,0.6864896055335227
CB,0.6781291729432138
MMM,0.6653975875007169
HIG,0.6540934144283482
FITB,0.6472344469023866
TSN,0.6441809089228672
APH,0.6296094404961665
HAS,0.6265825877532383
CBOE,0.6238482273101438
AMGN,0.6219712111836092
BMY,0.6152968476353531
CSCO,0.6129038930914611
USB,0.6116265344898518
STT,0.6106132597599339
MAT,0.6062662500885794
KEY,0.6037990596559027
GS,0.6023253990370012
ADI,0.5987353577602815
APA,0.5978920206840832
MCK,0.582995532108948
SYF,0.5806208840650334
LRCX,0.5575706277455436
IDXX,0.555366759807285
ZION,0.5489243651511327
DOV,0.5354813443496976
JNJ,0.5352950363344501
PCAR,0.5349238104546414
